Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers30
RecordLimit:,250000
Workers:,30
PaddingSize:,
Workload:,update-zipfian


update latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,243349,97.3,97.3
1.0,1.1,1034,0.4,97.7
1.1,1.2,0,0.0,97.7
1.2,1.3,0,0.0,97.7
1.3,1.5,0,0.0,97.7
1.5,1.6,0,0.0,97.7
1.6,1.8,0,0.0,97.7
1.8,1.9,0,0.0,97.7
1.9,2.1,340,0.1,97.9
2.1,2.4,0,0.0,97.9
2.4,2.6,0,0.0,97.9
2.6,2.9,0,0.0,97.9
2.9,3.1,235,0.1,98.0
3.1,3.5,0,0.0,98.0
3.5,3.8,0,0.0,98.0
3.8,4.2,176,0.1,98.0
4.2,4.6,0,0.0,98.0
4.6,5.1,159,0.1,98.1
5.1,5.6,0,0.0,98.1
5.6,6.1,148,0.1,98.2
6.1,6.7,0,0.0,98.2
6.7,7.4,135,0.1,98.2
7.4,8.1,125,0.0,98.3
8.1,9.0,0,0.0,98.3
9.0,9.8,117,0.0,98.3
9.8,10.8,127,0.1,98.4
10.8,11.9,118,0.0,98.4
11.9,13.1,226,0.1,98.5
13.1,14.4,92,0.0,98.5
14.4,15.9,91,0.0,98.6
15.9,17.4,211,0.1,98.7
17.4,19.2,180,0.1,98.7
19.2,21.1,174,0.1,98.8
21.1,23.2,169,0.1,98.9
23.2,25.5,151,0.1,98.9
25.5,28.1,203,0.1,99.0
28.1,30.9,102,0.0,99.1
30.9,34.0,241,0.1,99.1
34.0,37.4,176,0.1,99.2
37.4,41.1,207,0.1,99.3
41.1,45.3,163,0.1,99.4
45.3,49.8,135,0.1,99.4
49.8,54.8,168,0.1,99.5
54.8,60.2,186,0.1,99.6
60.2,66.3,154,0.1,99.6
66.3,72.9,128,0.1,99.7
72.9,80.2,117,0.0,99.7
80.2,88.2,118,0.0,99.8
88.2,97.0,110,0.0,99.8
97.0,106.7,89,0.0,99.8
106.7,117.4,83,0.0,99.9
117.4,129.1,79,0.0,99.9
129.1,142.0,57,0.0,99.9
142.0,156.2,46,0.0,100.0
156.2,171.9,39,0.0,100.0
171.9,189.1,27,0.0,100.0
189.1,208.0,16,0.0,100.0
208.0,228.8,9,0.0,100.0
228.8,251.6,7,0.0,100.0
251.6,276.8,3,0.0,100.0
276.8,304.5,3,0.0,100.0
304.5,334.9,3,0.0,100.0
334.9,368.4,3,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,1,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
