Endpoint:,postgres://localhost/test?sslmode=disable;binary_parameters=yes
Table:,myrunworkers30padding1k
RecordLimit:,100000
Workers:,30
PaddingSize:,1k
Workload:,insert


insert latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,88617,88.6,88.6
1.0,1.1,1437,1.4,90.0
1.1,1.2,0,0.0,90.0
1.2,1.3,0,0.0,90.0
1.3,1.5,0,0.0,90.0
1.5,1.6,0,0.0,90.0
1.6,1.8,0,0.0,90.0
1.8,1.9,0,0.0,90.0
1.9,2.1,1070,1.1,91.1
2.1,2.4,0,0.0,91.1
2.4,2.6,0,0.0,91.1
2.6,2.9,0,0.0,91.1
2.9,3.1,1187,1.2,92.3
3.1,3.5,0,0.0,92.3
3.5,3.8,0,0.0,92.3
3.8,4.2,827,0.8,93.1
4.2,4.6,0,0.0,93.1
4.6,5.1,693,0.7,93.8
5.1,5.6,0,0.0,93.8
5.6,6.1,702,0.7,94.5
6.1,6.7,0,0.0,94.5
6.7,7.4,610,0.6,95.1
7.4,8.1,474,0.5,95.6
8.1,9.0,0,0.0,95.6
9.0,9.8,448,0.4,96.0
9.8,10.8,410,0.4,96.4
10.8,11.9,358,0.4,96.8
11.9,13.1,662,0.7,97.5
13.1,14.4,281,0.3,97.7
14.4,15.9,239,0.2,98.0
15.9,17.4,412,0.4,98.4
17.4,19.2,341,0.3,98.7
19.2,21.1,253,0.3,99.0
21.1,23.2,185,0.2,99.2
23.2,25.5,163,0.2,99.3
25.5,28.1,174,0.2,99.5
28.1,30.9,82,0.1,99.6
30.9,34.0,155,0.2,99.8
34.0,37.4,60,0.1,99.8
37.4,41.1,56,0.1,99.9
41.1,45.3,35,0.0,99.9
45.3,49.8,21,0.0,99.9
49.8,54.8,27,0.0,99.9
54.8,60.2,12,0.0,100.0
60.2,66.3,12,0.0,100.0
66.3,72.9,8,0.0,100.0
72.9,80.2,5,0.0,100.0
80.2,88.2,7,0.0,100.0
88.2,97.0,3,0.0,100.0
97.0,106.7,2,0.0,100.0
106.7,117.4,1,0.0,100.0
117.4,129.1,1,0.0,100.0
129.1,142.0,0,0.0,100.0
142.0,156.2,0,0.0,100.0
156.2,171.9,0,0.0,100.0
171.9,189.1,0,0.0,100.0
189.1,208.0,0,0.0,100.0
208.0,228.8,0,0.0,100.0
228.8,251.6,0,0.0,100.0
251.6,276.8,0,0.0,100.0
276.8,304.5,0,0.0,100.0
304.5,334.9,0,0.0,100.0
334.9,368.4,0,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
