Endpoint:,postgres://127.0.0.1/test?sslmode=disable;binary_parameters=yes
Table:,dryrun
RecordLimit:,1000
Workers:,30
PaddingSize:,
Workload:,insert


insert latency
LowerBound,UpperBound,Count,Percent,AccumulativePercent
0.0,1.0,0,0.0,0.0
1.0,1.1,744,72.2,72.2
1.1,1.2,0,0.0,72.2
1.2,1.3,0,0.0,72.2
1.3,1.5,0,0.0,72.2
1.5,1.6,0,0.0,72.2
1.6,1.8,0,0.0,72.2
1.8,1.9,0,0.0,72.2
1.9,2.1,92,8.9,81.2
2.1,2.4,0,0.0,81.2
2.4,2.6,0,0.0,81.2
2.6,2.9,0,0.0,81.2
2.9,3.1,16,1.6,82.7
3.1,3.5,0,0.0,82.7
3.5,3.8,0,0.0,82.7
3.8,4.2,8,0.8,83.5
4.2,4.6,0,0.0,83.5
4.6,5.1,0,0.0,83.5
5.1,5.6,0,0.0,83.5
5.6,6.1,0,0.0,83.5
6.1,6.7,0,0.0,83.5
6.7,7.4,0,0.0,83.5
7.4,8.1,2,0.2,83.7
8.1,9.0,0,0.0,83.7
9.0,9.8,1,0.1,83.8
9.8,10.8,2,0.2,84.0
10.8,11.9,0,0.0,84.0
11.9,13.1,6,0.6,84.6
13.1,14.4,0,0.0,84.6
14.4,15.9,0,0.0,84.6
15.9,17.4,1,0.1,84.7
17.4,19.2,1,0.1,84.8
19.2,21.1,1,0.1,84.9
21.1,23.2,14,1.4,86.2
23.2,25.5,19,1.8,88.1
25.5,28.1,7,0.7,88.7
28.1,30.9,0,0.0,88.7
30.9,34.0,4,0.4,89.1
34.0,37.4,4,0.4,89.5
37.4,41.1,1,0.1,89.6
41.1,45.3,5,0.5,90.1
45.3,49.8,11,1.1,91.2
49.8,54.8,4,0.4,91.6
54.8,60.2,6,0.6,92.1
60.2,66.3,4,0.4,92.5
66.3,72.9,13,1.3,93.8
72.9,80.2,14,1.4,95.1
80.2,88.2,1,0.1,95.2
88.2,97.0,10,1.0,96.2
97.0,106.7,2,0.2,96.4
106.7,117.4,8,0.8,97.2
117.4,129.1,3,0.3,97.5
129.1,142.0,6,0.6,98.1
142.0,156.2,6,0.6,98.6
156.2,171.9,5,0.5,99.1
171.9,189.1,2,0.2,99.3
189.1,208.0,3,0.3,99.6
208.0,228.8,0,0.0,99.6
228.8,251.6,1,0.1,99.7
251.6,276.8,0,0.0,99.7
276.8,304.5,2,0.2,99.9
304.5,334.9,1,0.1,100.0
334.9,368.4,0,0.0,100.0
368.4,405.3,0,0.0,100.0
405.3,445.8,0,0.0,100.0
445.8,490.4,0,0.0,100.0
490.4,539.4,0,0.0,100.0
539.4,593.3,0,0.0,100.0
593.3,652.7,0,0.0,100.0
652.7,718.0,0,0.0,100.0
718.0,789.7,0,0.0,100.0
789.7,868.7,0,0.0,100.0
868.7,955.6,0,0.0,100.0
955.6,1051.2,0,0.0,100.0
1051.2,1156.3,0,0.0,100.0
1156.3,1271.9,0,0.0,100.0
1271.9,1399.1,0,0.0,100.0
1399.1,1539.0,0,0.0,100.0
1539.0,1692.9,0,0.0,100.0
1692.9,1862.2,0,0.0,100.0
1862.2,2048.4,0,0.0,100.0
2048.4,2253.2,0,0.0,100.0
2253.2,2478.6,0,0.0,100.0
2478.6,2726.4,0,0.0,100.0
2726.4,2999.1,0,0.0,100.0
2999.1,3299.0,0,0.0,100.0
3299.0,3628.9,0,0.0,100.0
3628.9,3991.8,0,0.0,100.0
3991.8,4390.9,0,0.0,100.0
4390.9,4830.0,0,0.0,100.0
4830.0,5313.0,0,0.0,100.0
5313.0,5844.3,0,0.0,100.0
5844.3,6428.8,0,0.0,100.0
6428.8,7071.6,0,0.0,100.0
7071.6,7778.8,0,0.0,100.0
7778.8,8556.7,0,0.0,100.0
8556.7,9412.3,0,0.0,100.0
9412.3,10353.6,0,0.0,100.0
10353.6,11388.9,0,0.0,100.0
11388.9,inf,0,0.0,100.0
